CustomerID,Country,FirstPurchase,LastPurchase,Segment,R_Raw,F_Raw,M_Raw,R_Score,F_Score,M_Score,RFM_Score,ChurnedProbability,CLV_12months,predicted_purchase_1yr
14095,United Kingdom,2009-12-17,2009-12-17,Hibernating,722,1,2.95,1,1,1,3,0.8227,,
13788,United Kingdom,2010-07-22,2010-07-22,Hibernating,505,1,3.75,1,1,1,3,0.8227,,
16738,United Kingdom,2011-02-15,2011-02-15,Hibernating,297,1,3.75,2,2,1,5,0.724,,
14792,United Kingdom,2011-10-07,2011-10-07,Hibernating,63,1,6.2,3,1,1,5,0.8227,,
15913,United Kingdom,2010-06-23,2010-06-23,Hibernating,534,1,6.3,1,1,1,3,0.8227,,
15040,United Kingdom,2010-06-16,2010-06-16,Hibernating,541,1,7.49,1,1,1,3,0.8227,,
18115,United Kingdom,2010-01-11,2010-01-11,Hibernating,697,1,9.7,1,1,1,3,0.8227,,
16537,United Kingdom,2010-03-08,2010-03-08,Hibernating,641,1,10.55,1,1,1,3,0.8227,,
17378,United Kingdom,2010-11-30,2010-11-30,Hibernating,374,1,10.95,2,2,1,5,0.724,,
17956,United Kingdom,2011-04-04,2011-04-04,Hibernating,249,1,12.75,2,2,1,5,0.724,,
16878,United Kingdom,2011-09-16,2011-09-16,Hibernating,84,1,13.3,3,2,1,6,0.724,,
14900,United Kingdom,2010-07-05,2010-07-05,Hibernating,522,1,13.92,1,1,1,3,0.8227,,
14580,United Kingdom,2010-07-09,2010-07-09,Hibernating,518,1,14.85,1,1,1,3,0.8227,,
12846,United Kingdom,2010-01-26,2010-01-26,Hibernating,682,1,15.58,1,1,1,3,0.8227,,
16093,United Kingdom,2011-08-25,2011-08-25,Hibernating,106,1,17.0,3,2,1,6,0.724,,
13163,United Kingdom,2010-04-08,2010-04-08,Hibernating,610,1,17.65,1,1,1,3,0.8227,,
15999,United Kingdom,2009-12-04,2009-12-04,Hibernating,735,1,20.4,1,1,1,3,0.8227,,
13112,United Kingdom,2010-06-16,2010-06-16,Hibernating,541,1,20.6,1,1,1,3,0.8227,,
17986,United Kingdom,2011-10-14,2011-10-14,Hibernating,56,1,20.8,4,1,1,6,0.8227,,
16953,United Kingdom,2011-11-09,2011-11-09,Hibernating,30,1,20.8,4,1,1,6,0.8227,,
12606,Spain,2010-01-26,2010-01-26,Hibernating,682,1,21.0,1,1,1,3,0.8227,,
14610,United Kingdom,2010-07-13,2010-11-09,Hibernating,395,2,24.35,2,2,1,5,0.7189,2.93,0.55
15284,United Kingdom,2010-07-27,2010-07-27,Hibernating,500,1,24.75,1,1,1,3,0.8227,,
17102,United Kingdom,2011-03-23,2011-03-23,Hibernating,261,1,25.5,2,2,1,5,0.724,,
17319,United Kingdom,2010-02-08,2010-02-08,Hibernating,669,1,29.1,1,1,1,3,0.8227,,
16454,United Kingdom,2010-04-07,2011-10-06,Hibernating,64,3,29.95,3,3,1,7,0.5849,17.12,1.57
15657,United Kingdom,2011-11-17,2011-11-17,Hibernating,22,1,30.0,4,1,1,6,0.8227,,
15575,United Kingdom,2010-03-30,2010-03-30,Hibernating,619,1,30.1,1,1,1,3,0.8227,,
16548,United Kingdom,2010-04-19,2010-04-19,Hibernating,599,1,30.15,1,1,1,3,0.8227,,
14144,United Kingdom,2010-08-10,2010-08-10,Hibernating,486,1,30.6,1,1,1,3,0.8227,,
